"keys","en","cs"
"T_UI_TS_NEWGAME","New Game","Nová Hra"
"T_UI_TS_LOADGAME","Load Game","Pokračovat"
"T_UI_TS_SETTINGS","Settings","Nastavení"
"T_UI_TS_EXIT","Exit","Exit"
"T_UI_SETTINGS_T","Settings","Nastavení"
"T_UI_CFG_TIMER","Disable Timer","Vypnout Časovač"
"T_UI_CFG_TIMER_TOOLTIP","Disables timer in battles.","Vypíná časovač v soubojích."
"T_UI_CFG_MATH","Show Elemental Modulo Result","Ukaž Výsledek Elementálního Modula"
"T_UI_CFG_MATH_TOOLTIP","Shows the resulting element in skill description for skills that use Elemental Modulo.","Ukáže výsledný element v popisu pro schopnosti které používají Elementální Modulo."
"T_UI_CFG_LANGUAGE","Language:","Jazyk:"
"T_UI_SAVE_TITLE","Select a slot to save to","Vyber slot k uložení"
"T_UI_SAVESLOT_TITLE","Slot {0}","Slot {0}"
"T_UI_LOAD_TITLE","Load a save slot","Načíst hru"
"T_UI_SAVE_EMPTY","Empty","Prázdný"
